# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 115
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4559	49	98.0%
2	2423	48	96.0%
3	252	46	92.0%
4	4450	44	88.0%
5	2086	36	72.0%
6	3732	33	66.0%
7	727	30	60.0%
8	300	28	56.0%
9	3084	28	56.0%
10	214	25	50.0%
11	40	22	44.0%
12	534	22	44.0%
13	1113	22	44.0%
14	3149	22	44.0%
15	4811	22	44.0%
16	2815	20	40.0%
17	4464	20	40.0%
18	4050	18	36.0%
19	2878	17	34.0%
20	2122	17	34.0%
21	4030	15	30.0%
22	4002	15	30.0%
23	1950	15	30.0%
24	3055	14	28.0%
25	2469	13	26.0%
26	4797	13	26.0%
27	1319	12	24.0%
28	4264	11	22.0%
29	1585	10	20.0%
30	3224	10	20.0%
31	577	9	18.0%
32	4747	9	18.0%
33	1028	9	18.0%
34	2925	8	16.0%
35	3571	7	14.0%
36	4481	7	14.0%
37	404	7	14.0%
38	74	7	14.0%
39	4511	6	12.0%
40	191	6	12.0%
41	2918	6	12.0%
42	4586	6	12.0%
43	4779	6	12.0%
44	1734	5	10.0%
45	4259	5	10.0%
46	3463	5	10.0%
47	958	5	10.0%
48	2245	5	10.0%
49	568	4	8.0%
50	1814	4	8.0%
51	4915	4	8.0%
52	2728	4	8.0%
53	4470	4	8.0%
54	4740	4	8.0%
55	1027	4	8.0%
56	695	3	6.0%
57	1073	3	6.0%
58	2831	3	6.0%
59	4537	3	6.0%
60	484	3	6.0%
61	3673	3	6.0%
62	4566	3	6.0%
63	4062	2	4.0%
64	4303	2	4.0%
65	3750	2	4.0%
66	3365	2	4.0%
67	385	2	4.0%
68	4593	2	4.0%
69	37	2	4.0%
70	221	2	4.0%
71	1733	2	4.0%
72	4991	2	4.0%
73	35	2	4.0%
74	1802	2	4.0%
75	1873	2	4.0%
76	1101	2	4.0%
77	2046	2	4.0%
78	3189	2	4.0%
79	1441	1	2.0%
80	528	1	2.0%
81	4783	1	2.0%
82	3902	1	2.0%
83	329	1	2.0%
84	4055	1	2.0%
85	2073	1	2.0%
86	2051	1	2.0%
87	62	1	2.0%
88	393	1	2.0%
89	111	1	2.0%
90	4038	1	2.0%
91	1861	1	2.0%
92	4152	1	2.0%
93	4835	1	2.0%
94	2516	1	2.0%
95	2668	1	2.0%
96	3576	1	2.0%
97	3952	1	2.0%
98	170	1	2.0%
99	960	1	2.0%
100	2602	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 115
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4559	49	98.0%
2	2423	48	96.0%
3	252	46	92.0%
4	4450	44	88.0%
5	2086	36	72.0%
6	3732	33	66.0%
7	727	30	60.0%
8	300	28	56.0%
9	3084	28	56.0%
10	214	25	50.0%
11	40	22	44.0%
12	534	22	44.0%
13	1113	22	44.0%
14	3149	22	44.0%
15	4811	22	44.0%
16	2815	20	40.0%
17	4464	20	40.0%
18	4050	18	36.0%
19	2878	17	34.0%
20	2122	17	34.0%
21	4030	15	30.0%
22	4002	15	30.0%
23	1950	15	30.0%
24	3055	14	28.0%
25	2469	13	26.0%
26	4797	13	26.0%
27	1319	12	24.0%
28	4264	11	22.0%
29	1585	10	20.0%
30	3224	10	20.0%
31	577	9	18.0%
32	4747	9	18.0%
33	1028	9	18.0%
34	2925	8	16.0%
35	3571	7	14.0%
36	4481	7	14.0%
37	404	7	14.0%
38	74	7	14.0%
39	4511	6	12.0%
40	191	6	12.0%
41	2918	6	12.0%
42	4586	6	12.0%
43	4779	6	12.0%
44	1734	5	10.0%
45	4259	5	10.0%
46	3463	5	10.0%
47	958	5	10.0%
48	2245	5	10.0%
49	568	4	8.0%
50	1814	4	8.0%
51	4915	4	8.0%
52	2728	4	8.0%
53	4470	4	8.0%
54	4740	4	8.0%
55	1027	4	8.0%
56	695	3	6.0%
57	1073	3	6.0%
58	2831	3	6.0%
59	4537	3	6.0%
60	484	3	6.0%
61	3673	3	6.0%
62	4566	3	6.0%
63	4062	2	4.0%
64	4303	2	4.0%
65	3750	2	4.0%
66	3365	2	4.0%
67	385	2	4.0%
68	4593	2	4.0%
69	37	2	4.0%
70	221	2	4.0%
71	1733	2	4.0%
72	4991	2	4.0%
73	35	2	4.0%
74	1802	2	4.0%
75	1873	2	4.0%
76	1101	2	4.0%
77	2046	2	4.0%
78	3189	2	4.0%
79	1441	1	2.0%
80	528	1	2.0%
81	4783	1	2.0%
82	3902	1	2.0%
83	329	1	2.0%
84	4055	1	2.0%
85	2073	1	2.0%
86	2051	1	2.0%
87	62	1	2.0%
88	393	1	2.0%
89	111	1	2.0%
90	4038	1	2.0%
91	1861	1	2.0%
92	4152	1	2.0%
93	4835	1	2.0%
94	2516	1	2.0%
95	2668	1	2.0%
96	3576	1	2.0%
97	3952	1	2.0%
98	170	1	2.0%
99	960	1	2.0%
100	2602	1	2.0%
