# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 2 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 52
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	591	34	66.7%
2	310	30	58.8%
3	780	23	45.1%
4	3782	23	45.1%
5	3991	19	37.3%
6	1135	18	35.3%
7	231	18	35.3%
8	3647	7	13.7%
9	3882	7	13.7%
10	3737	7	13.7%
11	928	6	11.8%
12	4884	6	11.8%
13	2545	5	9.8%
14	2784	5	9.8%
15	3700	5	9.8%
16	4151	5	9.8%
17	4357	5	9.8%
18	1538	4	7.8%
19	1063	4	7.8%
20	3171	3	5.9%
21	1723	3	5.9%
22	4940	3	5.9%
23	2583	3	5.9%
24	4212	3	5.9%
25	4849	3	5.9%
26	4166	2	3.9%
27	2626	2	3.9%
28	2352	2	3.9%
29	1955	2	3.9%
30	2936	2	3.9%
31	4041	1	2.0%
32	4384	1	2.0%
33	4021	1	2.0%
34	3596	1	2.0%
35	4195	1	2.0%
36	4700	1	2.0%
37	4848	1	2.0%
38	4992	1	2.0%
39	2219	1	2.0%
40	2531	1	2.0%
41	4854	1	2.0%
42	1620	1	2.0%
43	3661	1	2.0%
44	3515	1	2.0%
45	21	1	2.0%
46	4973	1	2.0%
47	3655	1	2.0%
48	3608	1	2.0%
49	4883	1	2.0%
50	4720	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 52
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	591	33	66.0%
2	310	29	58.0%
3	780	22	44.0%
4	3782	22	44.0%
5	231	18	36.0%
6	3991	18	36.0%
7	1135	17	34.0%
8	3647	7	14.0%
9	3882	7	14.0%
10	3737	7	14.0%
11	928	6	12.0%
12	4884	6	12.0%
13	2545	5	10.0%
14	2784	5	10.0%
15	3700	5	10.0%
16	4151	5	10.0%
17	4357	5	10.0%
18	1538	4	8.0%
19	1063	4	8.0%
20	3171	3	6.0%
21	1723	3	6.0%
22	4940	3	6.0%
23	2583	3	6.0%
24	4212	3	6.0%
25	4849	3	6.0%
26	4166	2	4.0%
27	2626	2	4.0%
28	2352	2	4.0%
29	1955	2	4.0%
30	2936	2	4.0%
31	4041	1	2.0%
32	4384	1	2.0%
33	4021	1	2.0%
34	3596	1	2.0%
35	4195	1	2.0%
36	4700	1	2.0%
37	4848	1	2.0%
38	4992	1	2.0%
39	2219	1	2.0%
40	2531	1	2.0%
41	4854	1	2.0%
42	1620	1	2.0%
43	3661	1	2.0%
44	3515	1	2.0%
45	21	1	2.0%
46	4973	1	2.0%
47	3655	1	2.0%
48	3608	1	2.0%
49	4883	1	2.0%
50	4720	1	2.0%
51	4921	1	2.0%
52	1404	1	2.0%
